,Logistic Regression,Random Forest,XGBoost
Accuracy,0.6138891734098125,0.6153641298781113,0.8013725289357779
Precision,0.8911852109142835,0.8933335911217664,0.801827954783251
Recall,0.5902735173824131,0.5905547034764826,0.999066973415133
F1,0.7101689963248297,0.7110540004001169,0.8896463812981573
AUC,0.693403192831251,0.7000351031090384,0.7006668740395984
